Name,Min price,Max - Min delta
Bounty Double Roll Select-A-Size White Paper Towels 6 rolls                                                                                                                                                                                                     ,10.99,9.00
Certified Angus Beef Choice Boneless Strip Steak (1 Steak) per pound                                                                                                                                                                                            ,11.99,8.00
Oscar Mayer Original Center Cut Bacon 12 oz                                                                                                                                                                                                                     ,5.99,7.00
Beef Angus Choice Top Round Steak Value Pack (About 3 Steaks Per Pack) per pound                                                                                                                                                                                ,6.99,5.00
Applegate Natural Uncured Genoa Salami Sliced 4 oz                                                                                                                                                                                                              ,4.59,4.40
Simple Truth Organic Air Chilled Boneless Skinless Chicken Breast per pound                                                                                                                                                                                     ,5.77,4.22
Haagen Dazs mint chocolate chip 14 fl oz                                                                                                                                                                                                                        ,3.49,4.00
Certified Angus Beef Choice Top Sirloin Steak (1 Steak) per pound                                                                                                                                                                                               ,8.99,4.00
Classico Tomato & Basil Pasta Sauce 24 oz                                                                                                                                                                                                                       ,2.00,3.99
Kroger Marinara Pasta Sauce 24 oz                                                                                                                                                                                                                               ,2.00,3.99
Red Seedless Grapes per pound                                                                                                                                                                                                                                   ,0.01,3.98
Applegate Natural Oven Roasted Turkey Breast 7 oz                                                                                                                                                                                                               ,5.39,3.60
Applegate Natural Black Forest Uncured Ham 7 oz                                                                                                                                                                                                                 ,5.39,3.60
Nescafe clasico 7 oz                                                                                                                                                                                                                                            ,6.49,3.50
Hillshire Farm Ultra Thin Sliced Honey Ham Lunch Meat 9 oz                                                                                                                                                                                                      ,3.50,3.49
Crisco vegetable oil 40 fl oz                                                                                                                                                                                                                                   ,5.00,3.49
Reese's Milk Chocolate Peanut Butter Snack Size Cups Halloween Bag 1 bag / 10.5 oz                                                                                                                                                                              ,3.00,3.29
KitKat Milk Chocolate Snack Size Wafer Candy Bars Halloween Bag 1 bag / 10.78 oz                                                                                                                                                                                ,3.00,3.29
Best foods mayo squeeze 20 oz                                                                                                                                                                                                                                   ,4.49,3.00
Land O Lakes salted butter sticks 1 lb                                                                                                                                                                                                                          ,4.99,3.00
Doritos Nacho Cheese Flavored Tortilla Chips 9.25 oz                                                                                                                                                                                                            ,3.00,2.59
Scott Comfort Plus Toilet Paper Double Rolls 1 Ply Toilet Tissue 12 ct                                                                                                                                                                                          ,4.99,2.50
Sweet Baby Ray's Buffalo wing sauce 16 fl oz                                                                                                                                                                                                                    ,2.99,2.50
Honey Nut Cheerios cereal 10.8 oz                                                                                                                                                                                                                               ,2.99,2.50
Degree men ultraclear fresh antiprespirant 3.8 oz                                                                                                                                                                                                               ,5.99,2.50
Bertolli d'Italia Marinara Sauce 24.7 oz                                                                                                                                                                                                                        ,3.99,2.50
Tabasco Original Pepper 5 fl oz                                                                                                                                                                                                                                 ,2.99,2.30
La Banderita Family Pack Flour Tortillas 20 ct                                                                                                                                                                                                                  ,2.99,2.00
Snickers Chocolate Candy Bars Fun Size 10.59 oz                                                                                                                                                                                                                 ,3.99,2.00
Cheez it grooves sharp white 9 oz                                                                                                                                                                                                                               ,3.49,2.00
Sara Lee Honey Wheat Sandwich Bread 20 oz                                                                                                                                                                                                                       ,2.99,2.00
Cheez it original cheese 12.4 oz                                                                                                                                                                                                                                ,3.49,2.00
Sweet onions per pound                                                                                                                                                                                                                                          ,0.01,1.98
Frank's RedHot Original 12 fl oz                                                                                                                                                                                                                                ,3.79,1.70
Lay's classic potato chips 8 oz                                                                                                                                                                                                                                 ,3.00,1.59
Oreo Chocolate Sandwich Cookies Family Size 19.1 oz                                                                                                                                                                                                             ,4.49,1.50
Honeycrip Apple per pound                                                                                                                                                                                                                                       ,1.49,1.50
